,comInsert,dataTime
478,126,2017-05-26 14:15:00
479,96,2017-05-26 14:16:00
480,97,2017-05-26 14:17:00
481,92,2017-05-26 14:18:00
482,93,2017-05-26 14:19:00
483,121,2017-05-26 14:20:00
484,143,2017-05-26 14:21:00
485,121,2017-05-26 14:22:00
486,147,2017-05-26 14:23:00
487,84,2017-05-26 14:24:00
488,132,2017-05-26 14:25:00
489,114,2017-05-26 14:26:00
490,110,2017-05-26 14:27:00
491,171,2017-05-26 14:28:00
492,100,2017-05-26 14:29:00
493,226,2017-05-26 14:30:00
494,160,2017-05-26 14:31:00
495,107,2017-05-26 14:32:00
496,112,2017-05-26 14:33:00
497,95,2017-05-26 14:34:00
498,122,2017-05-26 14:35:00
499,122,2017-05-26 14:36:00
500,102,2017-05-26 14:37:00
501,95,2017-05-26 14:38:00
502,105,2017-05-26 14:39:00
503,146,2017-05-26 14:40:00
504,124,2017-05-26 14:41:00
505,105,2017-05-26 14:42:00
506,108,2017-05-26 14:43:00
507,130,2017-05-26 14:44:00
508,150,2017-05-26 14:45:00
509,98,2017-05-26 14:46:00
510,120,2017-05-26 14:47:00
511,117,2017-05-26 14:48:00
512,117,2017-05-26 14:49:00
513,163,2017-05-26 14:50:00
514,98,2017-05-26 14:51:00
515,98,2017-05-26 14:52:00
516,111,2017-05-26 14:53:00
517,114,2017-05-26 14:54:00
518,156,2017-05-26 14:55:00
519,134,2017-05-26 14:56:00
520,112,2017-05-26 14:57:00
521,123,2017-05-26 14:58:00
522,116,2017-05-26 14:59:00
523,230,2017-05-26 15:00:00
524,122,2017-05-26 15:01:00
525,108,2017-05-26 15:02:00
526,104,2017-05-26 15:03:00
527,141,2017-05-26 15:04:00
528,170,2017-05-26 15:05:00
529,135,2017-05-26 15:06:00
530,140,2017-05-26 15:07:00
531,113,2017-05-26 15:08:00
532,109,2017-05-26 15:09:00
533,191,2017-05-26 15:10:00
534,151,2017-05-26 15:11:00
535,122,2017-05-26 15:12:00
536,129,2017-05-26 15:13:00
537,107,2017-05-26 15:14:00
538,148,2017-05-26 15:15:00
539,113,2017-05-26 15:16:00
540,155,2017-05-26 15:17:00
541,132,2017-05-26 15:18:00
542,124,2017-05-26 15:19:00
543,168,2017-05-26 15:20:00
544,100,2017-05-26 15:21:00
545,118,2017-05-26 15:22:00
546,134,2017-05-26 15:23:00
547,112,2017-05-26 15:24:00
548,159,2017-05-26 15:25:00
549,119,2017-05-26 15:26:00
550,115,2017-05-26 15:27:00
551,118,2017-05-26 15:28:00
552,128,2017-05-26 15:29:00
553,190,2017-05-26 15:30:00
554,159,2017-05-26 15:31:00
555,128,2017-05-26 15:32:00
556,123,2017-05-26 15:33:00
557,124,2017-05-26 15:34:00
558,131,2017-05-26 15:35:00
559,117,2017-05-26 15:36:00
560,108,2017-05-26 15:37:00
561,108,2017-05-26 15:38:00
562,141,2017-05-26 15:39:00
563,157,2017-05-26 15:40:00
564,123,2017-05-26 15:41:00
565,116,2017-05-26 15:42:00
566,136,2017-05-26 15:43:00
567,130,2017-05-26 15:44:00
568,150,2017-05-26 15:45:00
569,142,2017-05-26 15:46:00
570,123,2017-05-26 15:47:00
571,125,2017-05-26 15:48:00
572,110,2017-05-26 15:49:00
573,157,2017-05-26 15:50:00
574,123,2017-05-26 15:51:00
575,119,2017-05-26 15:52:00
576,124,2017-05-26 15:53:00
577,109,2017-05-26 15:54:00
578,168,2017-05-26 15:55:00
579,113,2017-05-26 15:56:00
580,115,2017-05-26 15:57:00
581,119,2017-05-26 15:58:00
582,98,2017-05-26 15:59:00
583,267,2017-05-26 16:00:00
584,120,2017-05-26 16:01:00
585,129,2017-05-26 16:02:00
586,133,2017-05-26 16:03:00
587,127,2017-05-26 16:04:00
588,154,2017-05-26 16:05:00
589,127,2017-05-26 16:06:00
590,111,2017-05-26 16:07:00
591,142,2017-05-26 16:08:00
592,117,2017-05-26 16:09:00
593,173,2017-05-26 16:10:00
594,133,2017-05-26 16:11:00
595,96,2017-05-26 16:12:00
596,111,2017-05-26 16:13:00
597,97,2017-05-26 16:14:00
598,128,2017-05-26 16:15:00
599,99,2017-05-26 16:16:00
